user_id,target,account_detail_f,pro_cat_f,accessories_f,view_order_f,orders_f,contact_us_f,rewards_f,rewards_cart_f,deli_retrn_f,shop_f,prod_search_f,goalkeeper_f,loyalty_f,prod_coulour_f,clearance_f,sale_f,training_wear_f,page_views,sessions
7258,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,1
8669,0,2,39,0,0,1,0,0,0,0,27,0,0,0,15,0,0,49,119,3
6206,0,0,35,0,0,0,0,0,0,0,28,0,8,0,37,0,0,1,68,1
4316,1,4,240,0,1,2,0,1,0,0,129,8,0,0,42,18,1,6,452,16
2969,0,13,188,0,0,0,0,0,0,0,88,0,42,0,47,0,0,14,427,25
5150,0,2,29,0,0,1,0,0,0,0,6,0,0,0,6,0,0,0,42,4
3813,0,4,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,28,1
91,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,1
6281,1,1,22,0,0,0,0,0,0,0,9,0,0,0,4,0,3,23,47,2
6913,1,2,60,1,0,0,0,0,0,0,21,0,0,1,17,0,3,50,108,5
6134,0,2,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,13,1
6761,1,0,1,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,14,2
6728,1,2,43,0,1,1,0,0,0,0,16,0,0,0,14,0,0,43,84,2
1032,0,3,69,4,0,0,0,0,0,0,53,0,0,0,1,9,13,2,155,4
7869,0,2,11,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,21,1
8036,0,2,35,0,0,0,0,0,0,0,20,0,0,0,18,0,0,0,65,5
3173,0,7,78,0,0,1,0,1,0,0,72,0,36,1,1,0,0,0,181,5
4969,0,0,21,0,0,0,0,0,0,0,8,0,0,0,22,0,0,0,29,11
6292,0,0,35,0,0,0,0,0,0,0,20,0,0,0,27,0,2,0,87,1
5711,0,2,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,1
7487,0,0,4,0,0,0,0,0,0,0,5,0,0,0,3,0,0,3,11,2
7897,0,1,5,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,15,1
5007,0,1,3,0,0,0,0,0,0,0,7,0,0,0,7,0,0,1,13,1
6607,1,5,2,0,2,3,0,0,0,1,14,2,0,0,11,0,0,4,36,4
6310,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,8,1
7116,0,1,25,0,0,0,0,0,0,0,9,0,1,0,1,0,1,0,52,4
5349,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,1
4261,1,15,209,1,1,2,1,8,3,0,151,0,0,5,15,3,7,103,468,13
8995,0,1,6,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,12,1
6304,0,3,35,0,0,2,0,1,0,0,19,0,4,0,18,4,0,0,119,1
7984,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
4667,0,1,46,0,0,0,0,0,0,0,7,0,0,0,0,0,1,32,61,5
1574,1,2,30,1,0,0,0,0,0,0,29,0,0,0,20,0,0,25,90,10
5829,0,2,10,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,19,1
4576,0,0,29,0,0,0,0,1,0,0,12,0,0,0,3,0,0,10,50,1
8921,1,0,2,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,16,2
4885,0,1,13,0,0,0,2,0,0,4,18,0,0,0,10,0,0,0,55,4
6389,1,15,38,5,2,2,2,0,0,0,25,3,0,0,13,0,1,39,134,9
8257,0,1,7,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,14,1
572,1,3,77,0,0,2,0,3,0,0,38,0,25,0,0,3,0,2,140,1
7047,0,2,5,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,14,1
5273,0,2,4,0,0,0,0,0,0,0,5,0,6,0,3,0,0,0,14,1
4660,1,0,10,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,33,2
8982,0,1,6,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,13,1
4033,0,0,59,0,0,0,0,1,0,0,36,0,0,0,14,3,2,25,114,2
4328,1,6,16,3,0,2,0,0,0,0,22,4,0,0,0,0,0,15,74,2
5931,0,0,5,1,0,0,0,0,0,0,10,2,0,0,8,0,0,4,27,1
6180,0,2,22,0,0,1,0,0,0,0,23,0,15,0,14,0,0,5,122,1
5546,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,2
7063,0,0,3,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,9,1
6610,1,0,5,0,0,0,0,0,0,0,6,0,0,0,3,0,0,7,14,1
4844,0,7,61,2,0,1,0,3,1,0,28,0,0,3,7,0,3,41,121,4
6479,0,0,226,32,0,0,0,0,0,0,154,0,21,3,123,3,1,77,424,13
5160,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,4,1
6207,0,2,13,0,0,0,0,0,0,0,6,0,8,0,3,0,0,0,26,1
5549,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
4687,0,21,155,16,0,0,0,1,0,3,97,6,4,5,0,11,8,116,328,14
4626,0,1,131,3,0,0,0,0,0,0,65,1,0,0,64,0,0,2,219,33
6780,0,5,16,1,0,2,0,1,0,0,13,7,0,0,4,0,1,12,116,5
4148,1,2,0,0,0,0,0,0,0,1,18,5,0,0,6,0,0,0,56,4
4015,1,0,10,0,0,0,0,0,0,0,20,1,2,0,0,0,0,0,42,4
5103,1,0,3,0,0,0,0,0,0,0,6,0,3,0,5,0,0,0,16,1
4997,1,4,40,0,0,1,2,3,0,3,28,0,0,0,24,0,1,34,118,6
5717,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
6943,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,8,1
4822,1,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,5,22,4
6607,0,5,2,0,2,3,0,0,0,1,14,2,0,0,11,0,0,4,36,4
2608,0,16,30,0,0,0,0,1,0,0,23,0,0,0,21,0,0,9,129,2
3889,1,42,107,16,2,4,0,5,0,0,97,5,0,0,37,0,0,71,434,27
7494,0,0,14,0,0,0,0,0,0,0,19,0,12,0,19,0,0,0,43,2
7023,1,7,44,1,0,0,0,0,0,0,16,0,0,0,12,0,0,11,88,4
6282,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2
4923,1,0,7,0,0,0,0,0,0,0,12,2,0,0,1,2,0,6,32,1
5247,1,2,12,0,0,0,0,0,0,3,13,0,0,0,13,0,0,0,46,2
6671,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
3677,0,13,32,0,0,0,1,0,0,0,39,0,0,0,6,0,0,7,160,8
3774,0,8,107,0,0,0,0,0,0,0,59,0,3,1,51,1,0,2,225,7
5896,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
4518,1,8,199,11,1,3,0,3,0,2,77,3,3,1,21,0,1,102,367,17
6245,0,1,25,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,57,2
9260,1,5,7,0,0,2,0,0,0,0,3,0,0,0,2,0,0,7,28,2
4045,1,0,1,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,20,1
4457,1,63,386,18,25,41,2,19,6,0,273,0,33,21,177,13,5,180,1221,76
147,0,0,27,0,0,0,0,1,0,0,21,1,9,0,0,0,0,11,93,2
4752,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,1
4252,1,1,14,0,0,0,0,0,0,0,35,4,4,0,0,1,3,2,75,4
4829,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,27,1
6532,0,23,92,7,4,8,0,7,0,0,93,0,21,0,81,0,1,0,423,13
6330,0,1,35,0,0,1,0,3,2,0,26,0,7,0,15,0,0,2,83,2
8052,0,10,28,1,0,0,0,0,0,0,31,0,1,0,30,0,0,6,91,4
6692,0,1,9,1,0,0,0,3,1,0,3,0,5,0,2,1,4,2,22,1
5477,1,2,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,10,1
5991,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
3735,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,26
1426,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,20,2
5954,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
5303,1,0,2,0,0,0,0,0,0,1,4,0,1,0,2,0,0,0,11,1
6353,0,5,23,0,0,0,0,0,0,0,27,0,0,0,24,3,0,0,67,5
4776,0,0,30,1,0,0,0,0,0,0,11,0,9,0,0,0,0,4,43,1
8683,0,1,17,0,0,0,0,0,0,0,13,0,0,0,20,0,0,0,33,1
2958,0,5,50,26,1,5,1,2,0,0,37,1,0,3,10,0,1,27,150,14
7048,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
7269,1,0,4,11,0,0,0,0,0,0,7,0,0,0,0,0,0,0,18,2
8816,0,2,21,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,28,1
5381,0,18,218,11,0,0,0,0,0,2,77,0,1,0,44,5,5,43,519,28
4537,0,1,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,28,3
5129,1,0,33,5,0,0,0,0,0,1,13,0,0,0,14,0,1,24,63,3
8377,0,9,24,1,0,0,1,0,0,0,22,0,6,0,12,0,0,4,90,5
3732,0,0,144,1,0,0,0,1,0,0,42,1,4,0,2,0,0,2,203,8
8537,1,5,14,0,0,0,0,2,0,0,15,0,0,1,12,1,0,0,53,5
3892,0,1,30,0,0,0,0,0,0,0,19,0,9,0,0,1,0,10,80,2
8936,1,4,40,6,0,0,0,0,0,0,25,0,3,0,24,0,0,9,83,1
5580,0,10,8,0,0,0,0,2,1,0,3,0,0,0,1,0,1,0,34,2
4944,1,5,32,0,1,2,0,0,0,0,18,0,0,0,1,2,0,44,82,11
4100,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,10,2
5977,0,0,23,2,0,0,0,0,0,0,9,1,2,0,9,0,1,0,43,5
3080,1,22,124,16,0,0,0,2,0,0,130,0,55,0,34,1,0,18,349,27
4678,0,6,29,0,0,2,1,2,0,4,61,1,12,0,0,0,0,0,230,18
4961,0,0,27,0,0,0,0,0,0,0,9,0,0,0,5,0,0,2,56,2
6062,1,1,14,0,1,1,0,0,0,0,5,0,0,0,0,0,0,17,27,3
5884,0,0,7,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,12,1
6802,0,1,73,2,0,0,0,0,0,0,39,0,22,0,30,2,1,25,159,2
6152,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
7829,0,1,3,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,10,2
5838,0,3,44,1,0,0,0,0,0,0,19,0,0,0,11,0,0,16,96,14
2832,0,1,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,17,2
6314,1,2,14,0,0,0,0,0,0,0,27,2,0,2,21,0,5,12,79,5
6165,0,0,13,0,0,0,0,0,0,1,8,0,0,0,7,0,0,0,22,1
8395,0,1,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,9,1
4322,1,1,42,4,0,0,0,0,0,0,16,0,0,4,0,2,6,18,93,1
4272,1,0,25,3,0,0,3,0,0,1,80,20,0,0,2,0,0,22,199,10
5974,0,0,6,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,16,2
